ID,Income,Recency,MntWines,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Seniority,Children
503,20559.0,88,13,29,3,0,7,2,2,0,3,8,30,394,1
8430,21994.0,4,9,6,3,1,3,1,0,0,3,5,58,738,1
2139,7500.0,19,3,10,3,2,12,3,2,0,3,5,40,690,1
1371,79941.0,72,123,266,227,30,174,1,2,4,9,1,39,187,0
9909,7500.0,24,3,14,15,22,50,3,3,1,3,9,19,842,0
7286,41728.0,92,13,15,3,5,13,1,2,0,2,10,47,587,1
6566,72550.0,39,826,317,50,38,38,9,5,2,12,8,61,873,2
8614,65486.0,29,245,125,37,67,14,1,4,2,10,2,58,27,1
4114,79143.0,2,650,780,27,167,32,1,6,9,13,3,51,784,0
1331,35790.0,54,12,20,30,1,3,2,2,0,3,7,38,699,1
2225,82582.0,54,510,550,156,40,241,1,4,9,7,1,38,179,0
9381,66373.0,57,328,124,12,24,109,7,4,2,10,3,37,391,2
6260,82384.0,55,984,432,180,120,190,1,3,10,13,1,60,773,0
10383,70287.0,30,295,482,121,120,40,1,5,5,10,3,49,696,0
7437,27938.0,31,13,8,2,1,5,1,1,0,4,3,27,248,1
8375,55954.0,63,447,28,0,0,43,3,8,2,6,7,47,304,1
6853,75777.0,12,712,538,69,13,80,1,3,6,11,1,33,634,0
3076,66653.0,18,452,102,16,18,6,4,4,2,12,3,40,906,2
1012,61823.0,26,523,134,37,14,169,4,8,2,10,7,63,682,1
6518,67680.0,8,546,48,0,6,6,1,7,3,8,5,64,421,1
4137,70666.0,29,398,367,119,122,30,1,7,4,4,4,67,568,0
8082,25721.0,75,1,6,3,6,15,1,1,1,2,7,44,590,1
1386,32474.0,0,10,1,0,0,0,1,1,0,2,7,48,57,2
9369,88194.0,19,688,309,201,24,38,1,11,10,10,5,36,288,1
4477,69096.0,4,247,159,7,82,109,1,5,2,10,4,57,461,1
1357,74854.0,90,856,487,58,29,73,7,2,5,5,5,45,515,3
1402,66991.0,1,496,460,189,60,12,3,4,8,6,3,61,783,0
6312,65031.0,29,258,291,84,37,86,4,10,3,13,7,56,655,1
8132,60631.0,88,565,65,0,6,19,5,9,2,8,7,40,607,2
1050,28332.0,58,14,13,4,15,9,1,2,1,4,2,63,246,0
5846,40246.0,68,2,6,2,1,1,1,1,0,2,6,38,743,1
1859,75251.0,34,721,925,97,18,18,1,7,6,5,5,43,857,0
7503,75825.0,40,1032,779,137,105,51,0,5,8,9,4,39,752,0
10401,26326.0,12,1,5,0,3,9,1,0,0,3,3,39,632,0
1618,56046.0,9,577,64,0,0,51,2,10,1,8,8,50,699,0
3332,29760.0,87,64,68,7,5,17,4,3,1,4,8,30,855,1
2261,26304.0,5,4,5,2,0,4,1,1,0,2,7,46,557,1
5346,23559.0,87,25,19,7,0,23,3,3,0,3,7,42,665,1
4119,38620.0,56,112,44,34,22,89,1,2,5,3,3,52,422,0
535,81361.0,18,163,424,27,65,76,1,3,10,13,1,28,310,0
5268,29440.0,95,17,14,10,4,3,2,1,0,4,7,55,419,2
273,36138.0,48,130,16,0,0,5,5,3,1,4,7,45,534,2
4452,50388.0,3,292,37,0,3,34,4,6,1,6,7,58,218,1
8504,79593.0,70,350,568,110,133,145,1,5,6,7,2,42,27,0
771,54178.0,79,135,39,4,0,7,1,2,2,5,2,48,345,1
11178,42394.0,69,15,10,0,1,4,1,1,0,3,7,43,284,1
2230,23626.0,84,27,14,0,0,0,3,3,1,3,5,45,222,1
7516,30096.0,30,5,11,12,5,9,1,2,0,3,6,32,224,1
7247,47916.0,72,505,26,0,0,75,5,7,4,6,6,55,770,1
11100,51813.0,37,51,7,0,1,2,2,2,0,3,7,43,423,2
4646,78497.0,44,207,447,75,0,223,1,5,7,12,2,64,719,0
3037,50150.0,32,135,92,65,61,11,2,5,2,7,5,32,560,0
1473,47823.0,0,53,5,2,1,10,2,2,0,3,8,55,527,1
1016,34554.0,43,41,6,2,0,5,2,2,0,3,6,56,277,1
4518,85693.0,59,386,183,185,132,111,2,9,5,11,5,36,621,1
9370,65846.0,68,562,276,80,40,81,1,6,3,6,4,70,594,0
8908,87195.0,35,217,690,50,26,38,1,3,11,5,1,56,149,0
8373,24594.0,94,1,6,10,0,9,1,1,0,3,5,36,446,1
7533,49096.0,15,144,32,2,1,7,4,4,1,4,7,51,464,2
2683,52413.0,56,295,271,75,98,65,4,6,4,12,6,46,698,2
3629,38557.0,17,76,31,4,4,27,2,3,1,3,7,37,743,1
10991,89058.0,18,454,106,31,22,43,1,5,4,4,2,55,903,0
5077,77298.0,46,425,292,23,35,79,1,6,6,11,3,36,689,1
7431,68126.0,40,1332,311,23,51,86,1,7,4,5,9,24,812,0
3267,57288.0,27,527,21,0,0,60,3,8,1,8,6,52,190,1
999,86037.0,95,490,125,29,20,22,1,6,7,11,3,24,699,0
9215,43974.0,19,378,101,0,0,72,5,6,4,6,7,35,750,1
2286,50785.0,27,64,21,0,1,27,2,2,1,3,6,53,449,2
1592,90765.0,25,547,812,151,82,33,0,4,6,5,1,45,342,0
367,36550.0,74,47,94,123,103,120,5,9,1,5,9,37,681,1
5234,30753.0,85,12,25,0,9,30,2,1,1,3,5,48,420,2
9862,21918.0,37,1,7,11,5,3,2,2,0,3,6,46,413,1
9805,56129.0,65,320,133,39,72,48,4,6,2,10,4,62,560,1
6205,32557.0,13,34,29,0,4,10,3,2,1,3,5,48,311,1
8442,19510.0,63,9,7,3,4,7,2,1,0,3,7,30,632,2
7386,30992.0,83,17,14,7,3,2,1,1,0,3,7,39,619,1
7215,101970.0,69,722,102,44,72,168,0,6,8,13,2,32,394,0
1491,71488.0,87,162,124,40,28,172,2,3,4,7,1,50,682,0
11071,79607.0,37,450,951,173,0,216,1,3,6,6,1,31,620,0
3381,54348.0,51,70,16,0,0,4,2,2,0,4,6,62,148,2
11051,77376.0,72,492,110,16,12,12,4,6,3,10,4,59,88,2
8026,62998.0,10,120,73,65,89,58,5,5,4,5,5,63,458,1
433,61331.0,42,534,47,0,5,41,5,11,1,6,8,57,455,2
9597,73448.0,10,236,189,23,41,130,1,7,2,9,4,46,91,0
5290,41551.0,51,220,33,3,0,23,5,5,1,5,8,51,505,2
1685,62981.0,21,796,590,38,44,0,1,4,5,13,3,48,655,0
5342,9548.0,31,0,3,10,6,9,2,1,0,3,8,39,876,1
9579,33762.0,61,53,34,2,0,16,3,2,2,2,8,56,543,3
7660,35860.0,37,15,8,4,2,20,2,1,1,2,5,42,227,2
1461,36921.0,74,17,12,3,1,4,2,2,0,3,7,50,522,2
821,92859.0,46,962,921,52,61,20,1,5,4,12,2,23,804,0
11084,65104.0,4,738,232,13,20,50,2,3,5,7,7,39,413,1
8690,86111.0,73,399,756,36,40,126,1,5,7,10,2,53,622,0
2937,68352.0,47,614,132,43,33,33,3,8,5,9,6,41,491,1
9701,41883.0,13,32,41,73,16,116,3,4,2,3,7,27,653,1
9949,59809.0,36,598,141,32,41,49,3,3,3,6,8,39,805,2
10837,23957.0,47,2,18,20,11,16,1,2,0,3,6,40,795,1
3120,38547.0,49,6,10,0,1,4,1,1,0,2,8,34,491,1
5885,35688.0,94,73,90,12,1,32,7,4,1,4,8,42,862,3
4050,49605.0,65,42,29,12,20,8,1,2,1,4,3,49,194,0
3830,59354.0,59,295,78,39,13,13,1,4,4,7,3,62,252,2
7987,65747.0,96,346,48,23,13,13,4,8,1,6,6,46,182,1
7798,46344.0,28,233,57,8,20,91,4,7,1,5,7,43,748,1
92,34176.0,12,5,24,19,14,20,4,3,0,4,6,27,27,1
7055,61010.0,57,888,57,0,0,76,2,8,5,11,5,63,843,1
10240,69372.0,10,997,269,34,13,42,1,10,4,6,4,66,681,0
3025,49967.0,4,212,69,4,12,3,3,6,1,5,7,57,512,1
9283,60199.0,49,8,7,2,0,0,1,0,0,3,4,37,388,3
9970,55375.0,3,42,57,10,28,14,1,1,1,6,2,38,441,1
2730,80317.0,64,536,387,149,91,57,1,3,4,10,1,60,499,0
2795,30523.0,0,5,3,0,0,5,1,1,0,2,7,57,724,3
9260,70356.0,20,1349,249,43,16,33,2,10,6,9,6,70,965,0
8182,23228.0,91,53,49,7,4,5,4,3,0,4,8,31,245,1
10095,74165.0,9,1001,240,16,12,12,1,5,4,10,2,40,726,0
8475,157243.0,98,20,1582,1,2,1,15,0,22,0,0,42,363,1
4370,43482.0,83,18,32,6,3,28,3,2,0,4,6,49,414,3
10573,62551.0,27,125,98,134,21,27,1,6,7,4,3,62,409,0
3712,52332.0,63,212,33,7,0,2,1,3,2,6,4,56,491,0
6637,66951.0,46,277,305,173,76,124,1,3,4,7,1,27,689,0
3152,26091.0,84,15,19,8,17,20,3,2,1,3,5,58,310,2
5610,33456.0,58,7,10,8,1,7,2,1,0,3,7,50,255,2
6460,28718.0,78,12,6,11,8,16,2,2,0,3,8,33,537,1
1349,50447.0,4,85,24,2,3,27,1,3,1,3,6,45,255,2
1880,53537.0,17,81,6,0,0,6,2,2,1,3,5,56,336,2
641,52074.0,77,59,12,0,0,48,1,2,2,2,4,48,272,1
8717,80427.0,56,1149,449,69,71,26,1,11,8,8,5,40,753,1
10314,83837.0,79,847,119,86,89,111,1,9,10,5,4,67,746,0
10854,38853.0,90,29,14,0,0,2,2,2,0,3,7,45,223,2
10492,38285.0,96,2,5,2,0,1,1,0,0,3,2,56,191,3
6935,78497.0,44,207,447,75,0,223,1,5,7,12,2,64,719,0
7698,51650.0,81,152,22,2,5,7,1,4,1,4,5,39,57,1
3559,16248.0,77,12,10,3,12,9,3,2,1,3,6,27,88,1
10562,66835.0,21,620,195,34,17,141,1,6,4,13,2,69,460,0
10796,30477.0,16,47,6,0,0,12,1,1,1,3,6,31,344,1
2563,28249.0,80,1,7,2,14,10,1,2,0,3,6,54,200,0
3518,25271.0,45,10,18,10,4,7,1,1,1,2,9,32,964,1
5823,32303.0,63,35,2,0,0,2,2,1,0,4,5,45,151,1
3934,61286.0,34,356,107,19,9,117,2,7,1,8,5,49,692,1
6982,74068.0,14,783,537,140,76,15,1,4,10,9,2,39,653,0
6431,45759.0,13,42,18,3,0,4,2,2,0,3,7,51,677,2
9733,24882.0,52,1,10,29,0,36,1,1,1,2,6,37,844,1
5602,66973.0,98,466,432,147,113,102,1,8,7,12,3,26,594,0
7829,36640.0,99,15,8,7,4,25,1,2,1,2,5,115,462,1
1324,38872.0,93,23,21,3,19,22,2,3,0,3,8,27,581,1
326,51148.0,38,235,45,8,9,12,4,5,1,6,6,42,682,2
7224,31353.0,24,10,10,3,1,7,2,1,1,2,8,38,368,2
6999,69661.0,80,656,106,32,16,8,1,7,3,12,3,35,233,0
9938,80067.0,82,519,813,27,173,51,1,4,6,6,2,61,469,0
6422,86718.0,20,344,482,50,33,172,1,5,6,5,2,61,714,0
3182,46854.0,81,96,79,7,1,79,6,5,1,3,8,42,276,2
7300,69142.0,50,448,34,6,4,39,3,8,1,7,5,63,186,1
10424,75922.0,60,265,553,224,23,92,1,4,4,9,1,47,476,0
8727,63693.0,63,587,337,42,87,54,3,11,6,9,6,37,444,1
2798,102160.0,54,763,138,76,176,58,0,7,9,10,4,38,1055,0
1030,40637.0,72,22,13,0,0,3,2,1,0,3,7,50,533,2
624,18890.0,5,6,1,7,2,15,1,0,1,2,6,31,812,0
5176,29604.0,88,7,13,7,6,14,1,1,0,3,9,27,507,1
5552,48721.0,50,81,113,47,13,21,6,4,2,5,6,52,598,2
868,44794.0,99,54,7,0,0,4,1,2,0,3,6,49,148,1
380,64497.0,17,1170,320,42,32,192,5,11,4,9,8,61,814,1
2677,46097.0,11,72,68,65,4,8,5,3,1,6,4,59,641,1
6521,77972.0,18,613,319,33,102,12,1,4,6,9,1,61,289,0
6927,44377.0,70,224,30,0,0,10,8,5,1,5,8,47,966,2
2877,46014.0,21,410,59,19,9,44,10,7,1,8,7,41,710,2
0,70951.0,66,239,554,254,87,54,1,3,4,9,1,30,636,0
1584,41443.0,79,171,171,25,19,89,6,8,1,5,8,38,362,1
7264,52195.0,2,12,4,0,0,1,1,1,0,2,8,37,27,3
6274,83790.0,81,1076,417,42,48,16,1,8,10,6,3,67,412,0
1377,44551.0,24,182,33,0,0,66,2,4,1,5,7,61,488,1
454,69508.0,48,824,162,42,32,43,2,11,4,11,6,35,778,1
1755,45204.0,93,30,25,29,1,18,1,1,1,4,3,27,58,1
2075,72460.0,56,377,540,80,30,10,1,3,5,7,1,46,413,0
4785,77622.0,3,520,154,19,0,14,2,6,3,11,3,45,262,2
9076,30732.0,44,155,25,0,1,3,4,4,1,4,8,35,610,1
7079,63887.0,38,897,207,15,11,92,5,9,6,12,6,53,875,1
4653,42011.0,46,131,16,2,1,39,4,3,1,4,8,37,646,1
7375,51369.0,84,297,79,0,11,182,2,8,2,4,8,39,798,1
709,51537.0,27,787,204,0,0,92,3,2,2,11,8,63,841,1
460,79930.0,72,792,740,67,51,17,1,3,5,8,2,43,876,0
3726,34320.0,66,4,9,3,0,0,1,1,0,2,8,29,319,1
6798,37070.0,30,231,137,4,15,39,9,5,1,8,7,49,652,2
5341,81975.0,2,983,184,180,138,27,1,6,3,4,7,53,610,1
1606,38590.0,65,3,8,4,3,3,1,1,0,2,8,44,596,1
9617,15033.0,37,0,5,6,0,4,1,1,0,3,3,64,260,0
3233,62745.0,89,562,464,28,10,32,3,7,8,11,5,50,649,1
89,22212.0,49,5,20,6,8,21,2,2,0,4,6,40,476,1
2936,23661.0,46,18,4,0,0,1,1,1,0,3,7,33,629,1
9449,79761.0,32,415,124,15,35,11,1,5,2,11,3,57,631,1
7297,7500.0,54,5,10,12,7,20,4,3,1,3,7,42,371,1
11004,60182.0,23,8,5,7,0,2,1,1,0,2,4,122,229,1
313,73455.0,98,901,757,186,163,20,1,6,5,10,3,47,430,0
9940,64961.0,97,382,276,75,124,38,2,6,4,4,3,57,739,1
10735,22804.0,75,14,7,2,1,1,1,2,0,2,9,44,519,1
9529,73687.0,8,559,503,218,13,181,1,3,9,9,2,25,399,0
6439,61074.0,37,789,133,0,28,152,7,11,5,8,7,57,867,1
7411,31686.0,31,11,5,0,0,1,2,1,0,3,6,51,240,2
2176,80134.0,40,1218,272,104,0,80,2,5,3,6,6,43,591,1
9265,75027.0,74,925,179,133,12,77,2,9,4,6,5,62,487,1
8867,67546.0,90,864,768,150,38,172,1,4,10,5,3,27,853,0
8932,65176.0,57,960,183,220,70,70,4,9,6,6,6,46,794,1
10236,31160.0,59,16,25,6,1,13,2,2,0,3,8,40,472,1
6340,29938.0,52,3,7,0,2,11,2,1,0,3,6,30,431,1
10089,102692.0,5,168,444,32,172,148,1,6,9,13,2,41,607,0
2227,26490.0,92,45,52,21,20,25,2,3,1,5,6,57,831,0
10992,75702.0,77,650,353,45,42,30,5,4,6,11,8,48,855,2
5304,30899.0,35,24,8,0,0,1,2,1,0,3,6,41,810,1
309,63342.0,48,918,118,13,10,21,3,8,3,5,6,54,807,1
3406,45989.0,97,138,87,28,24,12,4,3,2,7,3,51,801,1
2661,18701.0,95,12,2,10,6,10,4,2,0,4,5,51,635,2
3153,40737.0,24,11,4,0,0,2,1,1,0,2,8,58,507,3
10264,15287.0,60,1,8,4,3,13,2,1,1,2,7,36,813,1
1184,69674.0,46,554,215,11,0,24,3,10,2,10,5,47,589,2
4200,44159.0,85,167,62,24,13,7,4,4,1,6,5,45,198,1
9396,37717.0,31,9,6,4,1,5,1,1,0,2,9,37,769,1
2387,43776.0,9,177,71,3,2,20,6,5,2,4,8,63,670,2
6690,38179.0,30,38,22,4,2,20,4,3,1,3,7,49,658,2
1225,80124.0,47,483,398,205,84,241,1,3,7,8,1,52,189,0
9703,38097.0,70,77,35,0,1,69,4,3,2,2,7,45,808,2
291,72940.0,13,182,298,162,149,116,1,3,3,6,1,45,561,0
4557,22070.0,11,10,19,8,2,21,2,2,2,2,6,45,631,1
2379,69267.0,31,778,499,95,73,146,2,3,4,5,7,62,831,0
5726,31788.0,15,16,23,0,8,6,3,3,0,4,5,32,287,1
3066,61905.0,2,167,43,6,2,13,2,4,2,4,5,40,274,1
6336,29315.0,55,13,14,8,7,4,4,2,0,4,6,55,211,2
10967,33378.0,38,33,40,3,7,10,3,2,0,4,7,52,578,2
2304,66313.0,86,625,99,10,22,7,2,6,3,12,4,52,472,1
3445,60714.0,56,216,224,101,92,162,2,7,4,10,5,59,714,0
7828,77882.0,29,68,396,188,22,15,1,3,3,5,1,34,246,0
3762,69867.0,30,196,512,33,130,54,1,3,5,8,1,29,696,0
4391,63841.0,64,635,100,20,7,131,1,9,3,9,6,47,620,1
4669,24480.0,46,4,9,28,25,17,3,3,0,4,7,34,425,1
10144,51369.0,84,297,79,0,11,182,2,8,2,4,8,39,798,1
8652,37760.0,20,84,38,150,12,28,2,4,1,6,7,69,853,0
1672,65640.0,74,204,149,20,15,66,1,5,1,8,2,41,363,1
8962,44319.0,18,26,8,0,0,3,2,2,0,3,5,40,259,2
9974,30631.0,75,15,20,4,5,20,1,3,1,2,7,41,390,1
10983,75278.0,17,304,230,150,74,74,1,6,3,13,3,63,702,0
8148,50898.0,88,285,242,55,114,135,13,6,2,12,5,59,518,2
10102,79946.0,19,395,565,166,141,28,1,5,11,5,3,49,27,0
4697,35416.0,62,248,81,4,3,51,3,7,1,5,8,66,567,0
9262,32414.0,11,20,5,0,9,12,1,1,0,3,7,31,634,0
7254,38361.0,74,39,56,20,8,14,3,3,1,3,7,46,370,1
4543,82497.0,32,777,573,216,21,203,1,2,7,9,4,35,792,0
4927,16626.0,76,8,22,21,1,13,3,3,0,3,9,44,351,2
10451,29672.0,6,9,3,0,4,8,1,0,0,3,6,50,394,2
2926,55951.0,62,1241,80,0,13,40,3,3,6,11,8,63,861,1
2874,35388.0,20,6,7,4,3,8,1,1,0,3,7,27,547,1
9738,42386.0,43,65,16,0,4,11,1,3,0,3,8,29,718,1
7119,68627.0,45,395,263,60,54,38,1,2,3,6,1,33,396,0
3924,57912.0,34,801,80,0,0,35,5,8,3,12,5,50,290,1
5827,35246.0,53,36,12,2,2,10,4,3,1,3,5,57,260,2
5596,58821.0,44,513,154,19,0,28,1,9,2,9,6,59,387,1
10812,46377.0,89,37,46,4,3,0,1,2,1,3,4,37,363,1
1717,39747.0,43,80,93,20,13,52,3,5,1,4,8,27,263,1
9491,23976.0,68,14,21,2,3,25,3,3,1,3,7,31,370,1
9274,80950.0,44,525,112,219,147,63,1,6,7,9,2,54,644,0
6609,27038.0,64,1,25,17,23,15,1,3,0,3,9,49,835,0
6963,77457.0,85,675,400,15,45,11,1,2,5,10,1,68,243,0
4440,64100.0,93,509,27,0,0,10,1,8,3,6,7,51,449,1
1379,42670.0,12,154,46,20,4,15,1,4,2,4,4,23,614,0
10032,12571.0,86,3,14,2,12,17,4,3,1,3,6,39,348,1
2826,22574.0,28,25,8,2,0,2,2,2,0,3,7,48,430,3
6320,70893.0,42,768,561,77,44,14,1,6,6,10,3,39,578,0
3050,54198.0,13,185,28,3,2,17,6,3,1,6,4,49,380,2
231,28839.0,86,24,7,0,0,1,2,2,0,3,5,59,59,2
2392,40321.0,59,44,21,6,0,27,2,3,0,3,7,43,521,2
9478,66503.0,30,91,128,65,3,50,2,4,3,6,3,30,870,1
113,30833.0,33,11,7,3,1,6,2,1,0,3,5,64,534,2
1802,64795.0,23,412,119,38,29,77,3,3,3,12,2,44,714,1
520,34421.0,81,3,7,6,2,9,1,1,0,2,7,41,724,1
8275,47025.0,6,16,3,0,0,1,1,1,0,2,7,50,121,2
9750,64325.0,41,731,353,78,12,73,5,10,3,5,7,54,548,1
2607,40464.0,78,424,118,7,23,41,6,8,2,8,8,62,426,1
7214,62187.0,49,792,275,45,45,126,1,4,8,5,3,58,604,0
5835,14849.0,39,21,28,3,2,9,3,2,0,4,8,39,693,1
3896,27255.0,3,22,11,0,1,2,1,1,0,3,7,31,539,1
10350,54432.0,37,33,5,0,0,0,1,1,0,3,4,65,483,3
7786,29999.0,22,68,59,10,5,11,4,3,1,4,8,29,687,1
2861,24072.0,79,9,6,3,0,4,1,1,0,2,8,32,625,1
663,33996.0,46,40,15,8,0,6,1,1,1,3,4,26,418,0
10675,66334.0,82,909,218,0,0,23,2,9,3,5,5,59,668,1
2521,35178.0,10,23,13,2,2,18,1,1,1,2,7,44,457,1
9592,22010.0,51,11,9,3,0,8,2,2,0,3,8,32,550,1
10151,62204.0,38,317,247,151,46,139,1,4,5,12,3,55,753,2
7381,75693.0,10,797,293,72,97,30,1,11,4,6,4,47,933,0
4099,30675.0,14,10,16,11,2,21,1,1,0,3,8,43,751,1
9560,83003.0,18,856,570,40,25,122,1,7,6,8,3,50,669,0
1150,83532.0,36,755,562,104,64,224,1,4,6,4,1,116,462,0
10172,68655.0,95,456,832,75,118,38,1,4,5,11,3,27,815,0
11191,41411.0,11,37,38,11,3,18,1,2,1,4,6,29,538,0
9707,55212.0,65,1103,45,0,0,34,3,4,2,11,8,46,769,1
6245,59292.0,71,378,68,19,14,14,2,3,5,8,3,65,567,1
8234,27190.0,13,1,7,0,1,3,1,1,0,2,8,42,504,1
1411,82623.0,58,204,204,172,153,173,1,2,9,4,1,63,447,0
8553,44300.0,65,30,9,0,0,3,2,1,0,3,6,50,557,2
1826,84835.0,0,189,379,111,189,218,1,4,4,6,1,45,199,0
8842,30372.0,33,15,12,7,3,7,3,2,0,3,7,44,737,2
11030,33181.0,90,9,3,0,0,4,1,1,0,2,6,39,306,1
2579,71113.0,95,495,255,11,33,8,4,6,7,9,4,58,380,1
175,71952.0,93,656,455,52,107,93,2,8,4,8,4,29,457,1
9185,69759.0,38,452,514,13,30,0,3,4,6,5,3,49,430,0
11056,72099.0,18,546,410,119,0,22,1,3,4,10,1,41,796,0
9365,60000.0,57,1048,217,0,0,12,5,11,3,5,6,39,740,1
6201,38643.0,45,22,14,0,1,10,2,2,0,3,7,37,398,2
2061,50737.0,61,78,11,0,0,10,1,2,0,4,6,60,422,1
6184,68462.0,6,561,785,84,128,48,1,3,3,8,1,46,750,0
6142,65073.0,65,629,177,69,0,8,1,5,3,5,2,72,499,0
4107,46681.0,52,269,69,15,19,38,2,4,6,4,5,67,509,2
7274,78618.0,87,736,818,212,163,61,1,4,7,10,2,58,825,0
9336,62187.0,38,512,83,0,0,41,3,6,2,10,4,46,285,1
2958,28442.0,53,19,10,11,8,6,3,2,1,4,4,37,311,2
933,37717.0,31,9,6,4,1,5,1,1,0,2,9,37,769,1
5837,51479.0,67,247,160,6,8,65,7,6,3,6,7,48,734,2
10704,54803.0,65,404,92,28,27,142,2,6,2,9,4,46,863,1
5125,79530.0,64,333,815,129,42,29,1,4,10,11,2,55,594,0
4432,31615.0,82,2,20,6,11,9,2,2,0,3,7,39,656,1
5955,72025.0,27,833,549,151,133,233,1,4,3,8,3,53,775,0
2928,52614.0,63,789,142,12,9,38,2,2,4,8,8,40,1085,1
5680,35684.0,66,10,7,0,6,3,1,1,0,3,6,31,254,1
10313,48178.0,69,159,45,6,2,38,6,5,1,4,8,40,795,2
2557,29548.0,52,7,6,3,1,11,1,1,1,2,4,45,490,1
1245,63810.0,45,977,253,16,12,101,4,4,3,12,8,49,781,1
1519,38578.0,2,38,22,3,3,3,3,3,0,3,8,43,558,2
10703,46098.0,86,57,27,0,0,36,4,3,2,2,8,40,866,2
1726,22585.0,23,3,15,13,2,39,1,1,1,2,9,45,654,0
4459,30279.0,13,10,14,4,4,1,1,1,0,3,8,26,732,1
1729,66426.0,14,1043,97,32,24,157,2,3,5,10,6,54,690,1
1517,30822.0,92,3,13,2,12,12,1,1,0,3,7,46,566,1
2098,33581.0,38,11,5,0,0,1,1,1,0,2,8,46,518,2
9543,19986.0,74,3,5,0,2,6,1,0,0,3,7,30,413,1
6878,27421.0,14,43,96,78,40,55,3,4,1,6,7,61,750,0
3310,35688.0,94,73,90,12,1,32,7,4,1,4,8,42,862,3
2724,36143.0,33,12,1,0,0,6,1,0,1,2,3,34,277,1
948,10245.0,32,4,7,6,4,13,3,1,2,2,5,44,596,1
6720,43795.0,11,314,53,4,3,107,3,7,3,4,7,47,442,1
6202,63381.0,78,571,142,33,50,159,4,4,5,13,2,55,966,1
2066,38823.0,56,70,11,2,8,23,1,2,1,3,6,66,854,1
9799,83664.0,57,866,151,28,21,86,3,2,2,12,5,47,514,2
8318,90300.0,7,594,786,33,134,57,0,5,6,8,1,36,306,0
5642,62499.0,0,140,61,0,13,4,2,3,1,6,4,36,476,1
2669,74293.0,66,375,335,93,91,81,1,5,4,6,2,22,271,0
455,51012.0,86,102,63,2,9,24,1,4,1,4,6,69,623,0
7683,70777.0,80,554,113,0,7,78,3,5,3,12,3,47,310,1
3428,68682.0,56,919,505,99,30,45,1,4,9,10,2,24,570,0
