ID,Age,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan
155,54,58,92612,4,"1,30",3,0,0
156,24,60,94596,4,"1,60",1,0,0
157,26,15,92131,4,"0,40",1,0,0
158,41,83,94025,4,"2,67",1,0,0
159,32,79,94720,2,"1,50",3,0,0
160,61,41,94545,4,"1,70",2,0,0
161,29,134,95819,4,"6,50",3,0,1
162,61,80,95053,2,"2,80",1,0,0
163,38,52,90036,1,"2,00",1,0,0
164,28,70,91125,4,"2,60",1,0,0
165,53,92,95120,2,"1,10",1,0,0
166,27,43,94706,1,"1,50",1,0,0
167,25,21,95827,3,"1,00",2,0,0
168,33,23,94305,3,"0,90",3,0,0
169,50,13,91320,4,"1,00",1,0,0
170,27,112,90503,4,"2,10",3,0,0
171,27,138,90250,2,"2,00",1,0,0
172,52,11,95817,3,"0,40",1,0,0
173,38,171,92717,2,"7,80",1,0,0
174,58,42,90095,4,"1,50",1,0,0
175,42,168,95503,2,"7,90",2,0,1
176,45,85,91711,4,"1,10",2,0,0
177,52,44,93111,3,"1,00",2,135,0
178,29,65,94132,4,"1,80",2,244,0
179,53,24,95818,4,"0,20",1,0,0
180,62,11,91942,1,"0,10",1,0,0
181,51,38,90401,2,"1,00",3,164,0
182,36,10,93524,4,"0,70",2,81,0
183,24,135,95133,1,"1,50",1,0,0
184,29,148,92173,3,"4,10",1,0,1
185,52,63,92717,2,"1,50",2,0,0
186,39,115,91320,1,"1,00",3,0,0
187,48,45,95616,1,"0,30",1,0,0
188,46,159,94305,3,"1,90",3,315,1
189,64,169,91320,2,"2,10",1,122,0
190,55,112,94043,2,"1,40",1,0,0
191,60,93,92521,1,"4,30",1,0,0
192,51,29,90404,1,"0,30",3,140,0
193,50,85,92122,1,"2,67",2,0,0
194,48,21,93118,4,"0,60",1,0,0
195,53,144,92697,2,"6,80",1,0,0
196,34,13,94577,4,"1,00",1,95,0
197,48,165,93407,1,"5,00",1,0,0
198,55,9,91345,4,"0,70",1,89,0
199,27,59,94123,4,"0,00",1,90,0
200,36,158,92152,1,"5,10",3,0,1
201,32,29,91355,1,"1,90",3,0,0
202,35,20,94609,2,"1,40",3,0,0
203,30,68,94306,4,"2,00",2,0,0
204,58,65,95747,4,"2,20",1,0,0
205,56,61,96150,2,"1,90",2,105,0
206,38,91,95616,4,"1,40",2,100,0
207,49,31,91355,1,"1,00",1,0,0
208,34,71,94115,4,"0,10",2,0,0
209,40,73,94110,4,"2,67",1,0,0
210,64,172,94707,4,"3,10",1,282,1
211,51,20,92131,2,"0,00",1,0,0
212,44,55,94720,1,"0,20",1,0,0
213,46,69,91604,2,"1,70",1,209,0
214,57,155,91326,1,"7,40",1,0,0
215,54,94,90291,1,"1,90",2,0,0
216,38,92,95818,2,"0,00",1,249,0
217,27,125,95521,2,"0,60",1,0,0
218,39,74,94305,3,"3,00",1,0,0
219,44,72,92807,3,"0,30",3,0,0
220,56,61,94707,1,"2,20",3,0,0
221,32,25,92130,2,"0,30",1,0,0
222,45,83,95051,2,"1,70",2,0,0
223,26,104,94306,3,"2,50",1,0,0
224,55,41,95014,3,"1,00",3,0,0
225,52,58,94305,4,"1,80",3,91,0
226,39,93,94720,1,"1,50",3,0,0
227,24,39,94085,2,"1,70",2,0,0
228,47,148,94551,2,"7,50",1,0,0
229,47,53,92677,4,"1,90",3,98,0
230,48,71,93117,2,"1,70",1,145,0
231,47,92,94720,1,"2,80",2,0,0
232,35,61,94304,4,"2,10",3,0,0
233,46,38,94122,3,"2,50",2,135,0
234,62,58,91320,4,"1,70",1,0,0
235,26,80,95616,1,"0,80",2,150,0
236,38,71,94720,4,"1,80",3,0,0
237,43,89,93407,3,"0,50",3,0,0
238,62,83,92521,1,"1,80",3,0,0
239,57,28,95831,3,"0,20",1,0,0
240,28,52,94112,4,"1,70",2,0,0
241,51,70,90089,1,"1,20",1,169,0
242,48,71,91711,1,"1,40",3,0,0
243,41,75,94005,1,"3,70",3,280,0
244,65,170,90095,3,"7,90",3,99,1
245,41,78,94025,4,"0,80",1,78,0
246,35,25,92614,2,"1,00",2,0,0
247,38,60,94025,2,"0,60",3,0,0
248,53,120,92626,4,"2,70",2,111,1
249,55,99,92121,2,"1,40",1,264,0
250,26,55,90089,3,"2,60",3,113,0
251,30,29,94305,3,"1,00",2,117,0
252,54,170,92182,2,"6,20",2,325,1
253,65,53,91711,3,"2,20",1,0,0
254,47,138,94583,1,"0,00",1,0,0
255,65,134,91942,3,"3,90",3,121,1
256,66,42,92103,2,"0,70",3,138,0
257,26,99,92697,4,"2,30",3,0,0
258,66,18,92691,3,"0,50",1,0,0
259,35,24,95747,4,"0,30",1,0,0
260,56,55,94107,1,"1,40",1,77,0
261,51,58,92407,1,"0,00",1,0,0
262,42,111,93106,2,"1,20",3,251,1
263,49,33,90245,1,"0,30",3,0,0
264,27,74,92121,4,"1,80",2,112,0
265,45,38,90840,2,"0,70",1,0,0
266,49,23,94305,4,"0,60",3,98,0
267,63,61,94720,2,"1,50",1,0,0
268,47,81,90504,1,"2,90",1,138,0
269,64,129,94002,1,"2,50",1,0,0
270,43,33,95039,1,"0,75",3,0,0
271,60,63,94063,4,"2,20",1,0,0
272,40,70,94923,4,"1,40",2,0,0
273,29,45,95023,4,"0,20",1,158,0
274,41,65,90095,3,"0,50",3,0,0
275,30,74,95616,4,"2,20",1,0,0
276,49,50,94706,4,"1,80",3,0,0
277,30,22,90058,4,"0,50",3,109,0
278,29,30,92126,4,"1,00",3,0,0
279,50,21,91125,4,"1,00",1,0,0
280,39,155,94577,2,"3,90",1,0,0
281,33,64,92121,4,"2,10",3,164,0
282,57,65,94118,4,"2,60",3,0,0
283,34,71,91711,4,"0,70",3,0,0
284,61,40,90029,3,"0,50",2,0,0
285,44,69,92806,3,"0,50",3,0,0
286,40,69,94305,3,"2,33",2,0,0
287,51,45,94806,3,"0,60",2,131,0
288,37,62,92110,3,"0,70",2,0,0
289,44,172,94306,2,"4,30",3,391,1
290,42,24,92121,3,"1,00",2,0,0
291,51,80,92373,1,"4,90",1,0,0
292,43,8,90089,3,"0,67",2,88,0
293,30,38,94542,4,"0,80",1,129,0
294,45,93,90095,4,"2,60",3,0,0
295,35,55,94536,1,"2,00",1,0,0
296,60,64,94304,2,"1,70",3,0,0
297,34,122,90623,1,"0,00",1,0,0
298,55,70,93720,3,"1,40",3,0,0
299,43,81,92069,2,"3,20",1,0,0
300,41,159,90057,1,"5,50",3,0,1
301,34,70,92843,4,"1,30",1,0,0
302,65,150,92120,2,"6,90",1,196,0
303,45,152,94550,2,"7,50",1,0,0
304,49,195,95605,4,"3,00",1,617,1
305,48,22,90740,1,"0,10",1,0,0
306,60,22,91207,1,"1,30",1,123,0
307,55,79,92373,3,"0,80",1,0,0
308,42,33,90401,1,"1,40",3,0,0
309,32,128,94720,2,"4,33",1,0,0
310,62,91,95929,1,"3,80",1,0,0
311,57,39,90277,4,"0,90",1,0,0
312,52,121,94550,1,"7,30",1,167,0
313,36,21,91741,1,"0,67",3,0,0
314,34,41,93720,3,"2,30",1,0,0
315,63,45,93437,2,"0,70",3,0,0
316,24,51,90630,3,"0,30",3,0,0
317,57,165,95054,1,"1,60",2,0,1
318,40,119,91335,2,"4,20",2,0,1
319,27,110,95670,4,"1,80",3,190,0
320,65,20,90034,3,"0,70",2,0,0
321,60,64,90266,1,"0,80",2,248,0
322,44,101,92717,3,"4,40",2,82,1
323,63,101,92007,1,"3,90",1,0,1
324,59,99,90034,1,"4,40",1,0,1
325,56,158,90089,4,"6,10",1,0,1
326,54,89,95039,1,"1,90",2,0,0
327,52,80,95616,1,"1,30",3,0,0
328,58,114,91330,2,"2,00",1,402,0
329,60,49,94110,3,"0,50",2,0,0
330,28,191,90064,1,"6,33",1,0,0
331,54,78,92374,4,"1,00",2,0,0
332,32,28,94115,3,"1,00",1,0,0
333,59,42,95630,1,"0,80",2,0,0
334,63,140,92407,1,"2,50",1,0,0
335,48,45,95053,1,"1,30",2,0,0
336,56,122,95827,2,"0,30",1,360,0
337,36,65,95051,3,"2,60",2,0,0
338,57,68,94117,1,"1,40",3,0,0
339,29,153,93657,2,"2,00",1,392,0
340,39,89,92110,4,"1,40",2,0,0
341,59,91,93524,1,"2,60",1,0,0
342,31,55,92038,4,"2,00",2,185,0
343,43,118,91304,2,"3,30",1,0,0
344,35,22,93407,1,"0,67",3,103,0
345,54,63,92606,3,"1,40",3,138,0
346,51,12,92192,4,"0,50",2,78,0
347,44,50,90745,3,"2,70",2,0,0
348,25,43,94305,2,"1,60",3,0,0
349,40,173,95060,4,"6,60",1,0,1
350,26,60,93407,2,"3,00",1,132,1
351,39,113,94301,1,"1,00",3,0,0
352,28,155,92182,4,"5,30",2,0,1
353,52,91,92692,4,"1,00",2,0,0
354,53,55,95818,4,"1,10",2,0,0
355,44,173,90277,2,"1,40",1,419,0
356,43,71,92101,3,"0,30",3,0,0
357,56,24,94704,2,"0,40",3,88,0
358,38,42,94610,1,"2,00",2,81,0
359,30,141,94539,2,"4,33",1,0,0
360,32,32,93106,1,"1,90",3,0,0
361,35,55,94539,4,"1,30",1,0,0
362,43,153,90254,2,"7,50",1,0,0
363,58,113,94590,2,"1,40",1,270,0
364,25,30,92691,2,"1,70",2,0,0
365,54,29,92028,3,"1,00",3,148,0
366,57,174,90089,1,"6,80",2,466,1
367,50,35,92717,1,"0,30",3,0,0
368,32,98,95054,2,"2,00",2,175,0
369,63,30,92054,2,"1,00",3,159,0
370,31,58,95051,2,"2,50",1,0,0
371,36,25,92101,4,"1,00",1,147,0
372,58,19,92029,4,"0,70",1,0,0
373,56,44,93105,4,"0,70",2,174,0
374,49,20,90291,4,"1,00",1,111,0
375,30,98,91941,2,"3,10",1,220,0
376,33,90,92346,3,"1,60",1,0,0
377,45,61,94304,3,"0,70",1,0,0
378,30,40,94402,4,"2,00",2,0,0
379,47,38,94618,2,"2,10",3,0,0
380,25,28,92093,2,"1,70",2,0,0
381,63,34,94305,1,"1,50",3,0,0
382,55,73,95616,2,"2,30",3,0,0
383,65,133,94904,4,"2,00",1,0,1
384,44,53,94608,1,"0,20",1,0,0
385,51,21,9307,4,"0,60",3,0,0
386,35,40,93943,3,"0,90",1,0,0
387,30,41,95051,4,"1,70",2,0,0
388,31,82,95482,4,"1,80",2,0,0
389,54,100,95814,4,"3,40",3,0,1
390,45,155,90024,1,"7,00",1,0,0
391,45,45,92521,1,"0,20",1,0,0
392,58,9,94080,3,"0,30",3,0,0
393,54,48,91709,4,"1,80",3,0,0
394,53,18,90095,4,"0,10",3,109,0
395,33,80,91311,4,"3,40",1,0,0
396,60,64,94509,2,"2,80",1,0,0
397,50,29,93023,4,"0,10",1,0,0
398,26,48,90503,3,"0,70",2,0,0
399,54,23,94608,2,"0,40",1,0,0
400,28,84,90024,4,"0,20",1,0,0
401,36,179,94542,3,"6,60",1,0,1
402,29,30,95747,4,"1,50",2,112,0
403,54,93,91604,1,"4,90",1,133,0
404,55,39,92647,2,"1,90",2,0,0
405,61,60,92866,3,"0,50",2,182,0
406,36,133,90245,1,"3,80",1,290,0
407,45,125,92354,1,"2,40",1,0,0
408,64,58,93437,1,"1,80",3,0,0
409,60,89,91745,2,"2,80",1,0,0
410,49,82,90019,1,"2,67",2,125,0
411,47,110,94111,2,"3,30",1,0,0
412,60,54,92182,4,"2,30",3,0,0
413,45,89,93311,4,"1,90",3,0,0
414,32,42,92407,3,"2,30",1,0,0
415,52,41,94309,3,"1,90",2,0,0
416,35,38,93106,4,"1,00",2,124,0
417,40,85,94304,2,"0,40",1,0,0
418,53,83,90073,4,"1,00",2,0,0
419,27,33,90089,4,"1,00",3,0,0
420,58,50,94501,4,"2,10",1,0,0
421,47,58,93105,4,"3,60",3,0,0
422,28,115,92333,4,"3,10",2,0,1
423,46,145,91380,2,"6,30",1,0,0
424,43,161,95616,2,"7,50",1,0,0
425,56,38,92029,1,"0,20",1,0,0
426,28,28,90505,4,"0,80",1,0,0
427,42,75,92182,3,"2,33",1,0,0
428,32,35,92521,3,"1,30",1,116,0
429,62,24,94720,2,"1,00",1,116,0
430,37,78,94998,4,"0,10",2,0,0
431,51,113,94086,1,"1,30",3,161,0
432,39,75,94305,3,"2,10",1,224,0
433,43,91,91311,1,"5,70",1,0,0
434,52,31,91330,4,"0,20",1,141,0
435,30,45,95819,1,"1,80",2,0,0
436,52,80,94709,3,"0,80",1,0,0
437,61,50,92122,3,"1,40",3,112,0
438,36,31,95825,4,"1,00",2,0,0
439,58,113,93943,2,"3,80",2,119,1
440,47,29,94304,4,"0,60",1,0,0
441,64,59,92626,2,"1,50",1,139,0
442,52,43,93555,1,"1,30",2,0,0
443,58,122,95136,1,"3,00",3,115,1
444,48,29,90509,1,"1,00",1,0,0
445,64,91,93106,2,"0,00",3,0,0
446,58,65,94590,3,"2,20",3,0,0
447,47,22,93108,1,"1,00",1,0,0
448,49,71,95134,1,"1,40",3,0,0
449,31,60,94588,4,"2,00",2,0,0
450,61,60,91706,3,"2,00",3,0,0
451,51,69,95747,1,"0,30",1,0,0
452,28,48,94132,2,"1,75",3,89,0
453,39,21,94022,3,"0,20",2,0,0
454,54,53,92109,4,"2,80",2,0,0
455,50,29,94110,3,"0,90",3,0,0
456,30,60,91107,4,"2,20",2,0,0
457,64,42,92068,3,"0,50",2,116,0
458,29,69,94303,3,"0,30",3,0,0
459,48,20,95841,1,"1,00",1,0,0
460,35,200,91107,2,"3,00",1,458,0
461,60,141,90277,2,"2,10",1,0,0
462,55,81,92123,2,"3,70",1,0,0
463,29,183,91423,3,"8,30",3,0,1
464,48,149,94928,2,"5,50",2,0,1
465,43,83,94305,4,"3,60",3,0,1
466,66,35,94305,1,"1,90",2,172,0
467,25,13,91342,2,"0,90",3,0,0
468,45,39,90232,1,"2,40",1,0,0
469,34,21,92634,1,"0,50",3,0,0
470,48,10,94609,2,"0,70",3,0,0
471,32,84,91006,4,"1,80",2,0,0
472,50,30,91768,4,"0,10",1,161,0
473,43,31,90007,4,"0,30",1,156,0
474,64,182,93955,1,"1,20",2,547,1
475,60,114,90028,2,"6,90",1,0,0
476,43,152,92008,3,"6,10",2,0,1
477,60,53,92717,1,"0,80",2,0,0
478,64,24,95112,4,"0,40",2,78,0
479,44,150,95060,2,"3,30",1,0,0
480,60,132,92154,2,"6,00",1,470,0
481,54,68,94998,3,"1,60",3,0,0
482,33,53,94063,1,"1,20",1,0,0
483,56,173,94022,1,"4,60",2,88,1
484,29,30,90095,3,"1,00",2,0,0
485,25,113,95023,2,"0,20",1,0,0
486,60,15,95014,1,"0,80",2,0,0
487,55,84,92173,2,"3,70",1,304,0
488,39,88,94117,4,"1,40",2,0,0
489,37,43,94122,3,"2,80",1,0,0
490,53,43,91380,2,"2,10",3,0,0
491,34,90,94303,2,"2,70",1,0,0
492,42,34,92115,4,"0,30",1,104,0
493,60,38,94596,4,"1,30",1,0,0
494,50,173,94720,1,"1,00",1,0,0
495,41,160,92647,2,"8,00",1,0,0
496,25,44,94545,4,"0,60",2,0,0
497,50,83,94301,2,"0,40",3,0,0
498,48,94,90623,4,"2,60",3,0,0
499,32,43,95023,1,"2,10",3,0,0
500,50,42,93108,3,"1,70",2,0,0
501,59,34,92177,2,"0,30",1,0,0
502,50,39,90640,3,"1,90",2,0,0
503,44,70,92833,1,"0,10",2,0,0
504,31,39,94022,4,"1,80",3,185,0
505,40,44,94720,3,"2,00",3,0,0
506,36,69,94305,3,"3,10",2,0,1
507,51,44,94608,3,"0,90",3,0,0
508,64,32,91380,3,"0,10",3,0,0
509,47,15,95521,2,"0,70",3,0,0
510,52,118,90503,2,"6,80",1,112,0
511,51,62,95136,1,"1,30",2,221,0
512,31,82,94143,4,"2,20",2,0,0
513,39,54,95035,3,"3,00",1,108,0
514,30,48,94607,1,"2,10",3,0,0
515,27,74,91730,3,"0,30",3,0,0
516,41,113,92780,1,"1,00",3,211,0
517,53,81,90009,3,"1,70",2,0,0
518,54,43,92834,3,"1,00",2,169,0
519,28,34,92677,1,"1,80",2,0,0
520,34,48,95616,1,"2,50",3,105,0
521,61,54,90024,4,"1,20",2,129,0
522,48,75,92518,4,"1,40",2,0,0
523,36,72,91007,1,"2,80",1,224,0
524,56,39,93023,4,"0,90",1,0,0
525,24,75,93014,4,"0,20",1,0,0
526,64,79,94024,2,"2,80",1,179,0
527,26,205,93106,1,"6,33",1,271,0
528,33,65,90027,2,"0,10",1,89,0
529,64,122,90089,4,"0,20",1,378,1
530,39,82,95207,1,"0,80",2,0,0
531,54,21,91706,2,"0,20",1,0,0
532,32,50,90401,4,"2,10",3,0,0
533,62,39,94305,2,"2,80",1,113,0
534,27,101,92807,1,"1,90",1,0,0
535,53,41,93117,2,"0,60",3,0,0
536,51,132,94143,1,"0,30",1,0,0
537,25,43,92173,3,"2,40",2,176,0
538,44,131,90717,1,"4,90",3,0,1
539,31,11,94534,1,"0,40",2,76,0
540,57,21,94720,1,"0,30",3,117,0
541,25,109,94010,4,"2,30",3,314,0
542,30,141,95014,2,"4,33",1,0,0
543,40,81,94709,3,"0,10",1,0,0
544,63,54,94704,3,"2,40",1,90,0
545,35,164,91614,2,"7,80",1,0,0
546,43,28,94303,4,"0,30",1,87,0
547,27,68,94025,3,"2,60",3,203,0
548,44,44,94132,3,"2,00",3,180,0
549,49,61,94117,1,"1,40",3,0,0
550,61,35,94110,3,"1,30",2,0,0
551,60,54,94301,3,"0,30",2,0,0
552,59,14,93118,1,"0,10",1,0,0
553,28,52,90024,4,"2,20",1,230,0
554,52,101,91330,2,"0,30",1,0,0
555,28,149,94720,2,"7,20",1,0,0
556,34,35,92037,4,"0,80",1,137,0
557,60,21,93105,3,"0,30",3,129,0
558,39,118,95039,2,"1,90",1,0,0
559,30,38,95064,4,"2,00",2,0,0
560,49,24,95818,4,"0,20",1,138,0
561,43,59,93943,1,"3,70",3,0,0
562,63,41,94234,4,"1,67",3,0,0
563,28,85,94035,1,"0,80",2,0,0
564,51,12,94608,4,"1,00",1,0,0
565,33,32,94904,1,"0,60",3,152,0
566,55,79,90210,3,"0,80",1,0,0
567,53,175,95060,3,"3,60",3,0,1
568,34,28,95112,3,"0,90",1,0,0
569,34,41,92101,2,"0,10",1,161,0
570,40,70,95136,3,"2,10",1,185,0
571,49,161,94928,3,"6,50",2,485,1
572,35,53,94143,4,"2,20",2,0,0
573,39,128,92333,1,"3,40",1,0,0
574,55,50,95020,3,"1,00",2,0,0
575,29,80,94709,2,"2,00",2,0,0
576,54,93,91107,1,"2,70",2,0,0
577,25,48,92870,3,"0,30",3,0,0
578,52,149,94043,2,"6,80",1,0,0
579,46,49,92124,3,"2,50",2,0,0
580,57,88,93524,1,"2,70",2,0,0
581,52,22,90049,4,"0,40",3,0,0
582,28,55,94521,4,"2,20",1,0,0
583,44,72,95678,1,"0,70",3,155,0
584,24,38,95045,2,"1,70",2,0,0
585,40,114,91604,1,"3,40",1,300,0
586,34,83,92653,4,"4,00",3,0,0
587,39,101,94305,2,"0,40",1,0,0
588,50,94,93305,1,"4,90",1,272,0
589,41,40,93117,2,"2,50",1,0,0
590,31,128,92821,1,"6,00",1,0,0
591,29,39,94612,4,"2,10",3,0,0
592,30,51,92037,1,"1,00",1,0,0
593,44,79,95051,4,"2,00",3,0,0
594,33,48,90025,4,"2,20",2,0,0
595,50,85,94143,1,"0,00",1,144,0
596,42,41,92121,1,"1,80",1,94,0
597,48,152,94022,1,"3,50",3,0,1
598,24,125,92835,2,"7,20",1,0,0
599,56,11,92374,2,"0,20",3,90,0
600,28,103,94720,2,"2,50",1,0,0
601,56,141,94143,2,"0,50",1,0,0
602,58,38,91320,1,"1,40",1,0,0
603,29,135,95035,2,"0,60",1,0,0
604,63,28,94720,2,"0,50",2,89,0
605,28,70,90245,4,"2,20",1,240,0
606,57,41,91330,1,"0,20",1,0,0
607,34,81,91741,3,"0,90",2,208,0
608,28,170,95014,1,"0,10",3,0,1
609,27,55,91910,4,"1,70",2,0,0
610,37,24,91770,4,"1,50",3,0,0
611,52,81,94132,3,"1,80",2,275,0
612,49,32,94701,4,"1,80",1,83,0
613,65,129,90095,1,"1,30",1,0,0
614,60,108,94904,1,"0,90",1,0,0
615,37,180,90034,1,"8,60",1,0,0
616,63,139,93943,2,"6,90",1,0,0
617,40,33,94025,2,"1,40",3,0,0
618,46,74,94024,4,"2,60",3,0,0
619,63,42,91320,2,"0,70",3,115,0
620,57,73,93106,1,"3,00",3,0,0
621,33,115,91129,4,"2,90",2,0,1
622,41,114,91125,2,"1,80",2,0,0
623,41,92,93555,2,"1,90",1,131,0
624,44,34,95616,1,"0,30",3,78,0
625,33,54,92821,2,"1,67",2,122,0
626,52,64,95605,2,"1,00",3,211,0
627,30,42,94305,1,"0,20",3,100,0
628,45,70,92677,3,"2,10",1,0,0
629,49,51,90071,1,"1,30",2,0,0
630,45,71,91711,4,"2,90",1,218,0
631,32,35,96651,3,"1,30",1,108,0
632,45,40,94960,3,"1,00",2,0,0
